"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","3323","1000","2015-01-01T00:00:00","TAVG","GHCND:USC00120177",",7","-3.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00120200",",7","-7.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00120676",",7","-6.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00120784",",7","-2.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00120830",",7","-6.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00120852",",7","0.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00121030",",7","-1.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00121256",",7","0.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00121303",",7","-4.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00121326",",7","-3.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00121417",",7","-6.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00121739",",7","-7.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00121747",",7","-1.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00121873",",7","-5.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00122096",",7","-6.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00122309",",7","-1.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00122620",",7","-1.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00122731",",7","0.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00122814",",7","-2.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00122825",",7","-5.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00123078",",7","-6.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00123082",",7","-4.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00123091",",7","-1.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00123146","2,7","-1.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00123206",",7","-6.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00123207",",7","-6.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00123418",",7","-5.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00123527",",7","-4.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00123777",",7","-5.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00124181",",7","-6.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00124244",",7","-5.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00124260",",7","-3.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00124657",",7","-6.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00124662",",7","-6.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00124715",",7","-5.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00124782",",7","-6.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00124837",",7","-6.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00125117",",7","-5.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00125174",",7","-6.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00125337",",7","-6.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00125407",",7","-3.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00126001",",7","0.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00126151",",7","0.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00126164",",7","-5.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00126400",",7","-6.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00126420",",7","-6.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00126435",",7","-1.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00126580",",7","-2.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00126705",",7","-1.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00126830",",7","-4.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00126989",",7","-6.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00127069",",7","-5.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00127125","1,7","-1.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00127298",",7","-5.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00127370",",7","-3.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00127482",",7","-6.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00127959",",7","-3.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00127999","1,7","-3.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00128036",",7","-1.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00128290",",7","-2.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00128442",",7","-0.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00128698",",7","0.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00128784",",7","-5.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00128967",",7","1.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00129113",",7","-1.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00129222",",7","-6.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00129240","2,7","-6.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00129253",",7","-0.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00129430",",7","-5.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00129557",",7","-4.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00129670",",7","-6.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00129724","1,7","-7.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00129905",",7","-6.4"
